login;Apellido1;Apellido2;Nombre;DNI;Movil;Fijo;Calle;Localidad;CP;Provincia;Correo;Puesto;Departamento
idescals;DESCALS;FABREGAT;IRENE;99732170F;679133017;940034230;Calle Manuela Solís Claràs, 3;Carrícola;46015;Valencia;idescals@fpmislata.fp;Seguridad;Seguridad
rdescalzo;DESCALZO;PULGAR;ROS;58413386X;698596908;967296673;Calle María Cambrils Sendra, 40;Sempere;46009;Valencia;rdescalzo@fpmislata.fp;Contabilidad;Administración
sdonat;DONAT;MARCO;SAUL;27045459N;661161021;923265286;Calle María de Maeztu, 44;Alcoy;46015;Alicante;sdonat@fpmislata.fp;Seguridad;Seguridad
mduro;DURO;GALVEZ;MERCEDES;11707986C;682291005;965769489;Calle María Montessori, 36;Ibi;46021;Alicante;mduro@fpmislata.fp;Analista programador;Desarrollo
jeggers;EGGERS;KAZEN;JENNIFFER;85586081E;645080309;925314509;Calle Mariano Carsí Pascual, 46;Castalla;46009;Alicante;jeggers@fpmislata.fp;Contabilidad;Administración
senguidanos;ENGUIDANOS;MANCEBO;SERGIO;77486083A;675263626;947939418;Calle Norman Bethune, 35;Onil;46009;Alicante;senguidanos@fpmislata.fp;Contabilidad;Administración
eescribano;ESCRIBANO;CASAS;ENRIQUE;89630634W;617960554;945016880;Calle Olympe de Gouges, 47;Bañeres;46009;Alicante;eescribano@fpmislata.fp;Contabilidad;Administración
jferrer;FERRER;CHICA;JEANNINE;86310509L;610278716;916760615;Calle Pilar Soler Miguel, 32;Tibi;46015;Alicante;jferrer@fpmislata.fp;Seguridad;Seguridad
lferrero;FERRERO;PELLICER;LLUIS;44000939F;661945200;949718283;Calle Plaza de las Trece Rosas, 22;Penáguila;46009;Alicante;lferrero@fpmislata.fp;Contabilidad;Administración
nflores;FLORES;NUÑEZ;NEUS;67462000X;645620129;933048027;Calle Plaza del Equipo Crónica, 10;Benifallim;46020;Alicante;nflores@fpmislata.fp;Programador Senior;Desarrollo
cfolgado;FOLGADO;PUERTO;CARMEN;83817222R;638673400;913912302;Calle Rosa Estruch Espinós, 45;Torrente;46003;Valencia;cfolgado@fpmislata.fp;Programador Junior;Desarrollo
mfuentes;FUENTES;MUÑOZ;MIQUEL;72228650W;613585248;981665716;Calle Simone de Beauvoir, 26;Paterna;46009;Valencia;mfuentes@fpmislata.fp;Contabilidad;Administración
rfuertes;FUERTES;IBAÑEZ;RAUL;5691817F;675389663;964091890;Calle Virginia Woolf, 34;Mislata;46022;Valencia;rfuertes@fpmislata.fp;Analista programador;Desarrollo
lgarcia;GARCIA;FERNANDEZ;LLUIS;15235205M;639941610;956258391;Calle Higinio Noja, 14;Aldaya;46020;Valencia;lgarcia@fpmislata.fp;Programador Senior;Desarrollo
rgarcia;GARCIA;LACRAMIOARA;RAUL;86458139N;655942121;957274236;Calle María Zambrano, 25;Manises;46017;Valencia;rgarcia@fpmislata.fp;Gerente;Administración de Sistemas
jgarcia;GARCIA;PUNZANO;JAVIER;44798837N;641428522;982689156;Calle Olimpia Arozena Torres, 13;Chirivella;46001;Valencia;jgarcia@fpmislata.fp;Programador Junior;Desarrollo
egarroni;GARRONI;PEREZ;ELVIRA;56312411Q;610030341;937058864;Plaza de la Llotjeta, 9;Alacuás;46006;Valencia;egarroni@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
jgomez;GOMEZ;CALVO;JAVIER;9425143L;664834597;923159146;Plaza profesor José Ballester Gozalvo, 12;Cuart de Poblet;46006;Valencia;jgomez@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
ggomez;GOMEZ;CASADO;GRICELDA;78890934Z;612881828;960822155;Calle de Cantarranas, 8;Picaña;46006;Valencia;ggomez@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
igonzalez;GONZALEZ;CERVERA;IBAN;39351806W;652185055;955388291;Calle de Empedrada, 42;Alcira;46006;Valencia;igonzalez@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
sgonzalez;GONZALEZ;DURA;SAUL;79780085P;631041195;977828466;Calle de la Corraliza, 1;Algemesí;46013;Valencia;sgonzalez@fpmislata.fp;Limpieza;Mantenimiento
vgonzalez;GONZALEZ;LAHIGUERA;VICTOR;91448385V;665434490;945388262;Calle de la Luz, 41;Carcagente;46014;Valencia;vgonzalez@fpmislata.fp;Limpieza;Mantenimiento
cgrisolia;GRISOLIA;NAVARRO;CARLOS;87309910R;613583218;980173374;Calle de la Pasión, 34;Carlet;46020;Valencia;cgrisolia@fpmislata.fp;Programador Senior;Desarrollo
cguillem;GUILLEM;NAVARRO;CESAR;42753936H;636286384;935837895;Calle de la Pirincoba, 10;Alginet;46011;Valencia;cguillem@fpmislata.fp;Electricidad;Mantenimiento
mhernandez;HERNANDEZ;GOMAR;MIQUEL;72125051H;649048047;970318417;Calle de Ronda, 45;La Alcudia;46006;Valencia;mhernandez@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
ihernandez;HERNANDEZ;KULYK;INES;75039261J;681073941;954048638;Calle de Traslascasas, 3;Benifayó;46004;Valencia;ihernandez@fpmislata.fp;Becario;Administración de Sistemas
jhernandez;HERNANDEZ;MORENO;JAVIER;57583469W;616407828;917270242;Calle del Puerto Isidoro, 31;Alberique;46004;Valencia;jhernandez@fpmislata.fp;Becario;Desarrollo
ehernandez;HERNANDEZ;ROMERO;ENRIQUE;48951022F;616686530;950007092;Calle del Rico, 36;Monserrat;46004;Valencia;ehernandez@fpmislata.fp;Becario;Desarrollo
sherrera;HERRERA;CASTRO;SALOME;96478958F;611426386;941920679;Calle Empedrada, 12;Villanueva de Castellón;46019;Valencia;sherrera@fpmislata.fp;Programador Senior;Desarrollo
eherrero;HERRERO;CUESTA;ESTELA;29542984J;696038194;946238563;Calle la Luz, 19;Turís;46019;Valencia;eherrero@fpmislata.fp;Programador Senior;Desarrollo
ejimenez;JIMENEZ;CLAVERIAS;ERNESTO;62867680D;669077789;949188970;Calle Nueva, 39;Guadasuar;46019;Valencia;ejimenez@fpmislata.fp;Programador Senior;Desarrollo
djimenez;JIMENEZ;OLMOS;DOLORES;59717565C;675973176;940511475;Calle Rico, 16;Puebla Larga;46019;Valencia;djimenez@fpmislata.fp;Programador Senior;Desarrollo
djordan;JORDAN;SAIZ;DAVID;52418311T;663153587;949910897;Calle Ronda, 22;Montroy;46003;Valencia;djordan@fpmislata.fp;Programador Junior;Desarrollo
ckulyk;KULYK;SAIZ;CRISTINA;18096056R;639898969;920654887;Plaza de Sol, 31;Catadau;46002;Valencia;ckulyk@fpmislata.fp;Programador Junior;Desarrollo
jlachiri;LACHIRI;LLOPIS;JORGE;17879485K;666809855;950525812;Calle Almendra, 40;Llombay;46003;Valencia;jlachiri@fpmislata.fp;Becario;Administración de Sistemas
cllopis;LLOPIS;RUIZ;CLAUDIO;95277014C;695883330;970425806;Calle Carlos III, 6;Manuel;46001;Valencia;cllopis@fpmislata.fp;Programador Junior;Desarrollo
mlopez;LOPEZ;ZARZO;MARIA;99200064Y;633113386;919415228;Calle Francisco Parrilla, 32;Rafelguaraf;46003;Valencia;mlopez@fpmislata.fp;Becario;Administración de Sistemas
eluque;LUQUE;RUBIO;EDUARDO;32374664W;678774112;954742609;Calle Palma, 24;Benimodo;46002;Valencia;eluque@fpmislata.fp;Programador Junior;Desarrollo
vmancebo;MANCEBO;MACHIRANT;VIRGINIA;45917998Q;681442397;917213186;Calle Parrilla, 49;Real;46002;Valencia;vmancebo@fpmislata.fp;Programador Junior;Desarrollo
zmanso;MANSO;PALES;ZULEMA;18577482Z;646478004;952320587;Calle Santo Domingo, 10;Cárcer;46002;Valencia;zmanso@fpmislata.fp;Programador Junior;Desarrollo
cmartin;MARTIN;ARENAS;CRISTINA;10091293C;690444843;980176313;Calle Soledad, 16;Masalavés;46002;Valencia;cmartin@fpmislata.fp;Programador Junior;Desarrollo
emartinez;MARTINEZ;ARDELEAN;ERNESTO;11077437Q;691929506;935048995;Carretera Herrería, 43;Alfarp;46003;Valencia;emartinez@fpmislata.fp;Becario;Administración de Sistemas
bmartinez;MARTINEZ;GARIBO;BEGOÑA;52799385X;683258426;976292455;Calle Anastasio Fernández San José, 32;Alcántara del Júcar;46003;Valencia;bmartinez@fpmislata.fp;Becario;Administración de Sistemas
omartinez;MARTINEZ;HERRERO;OLEKSANDRA;21532727N;636152104;929122424;Calle Costanilla, 48;Tous;46003;Valencia;omartinez@fpmislata.fp;Becario;Administración de Sistemas
jmartinez;MARTINEZ;JORDAN;JOSE;59534325K;627608647;926552213;Calle de Anastasio Fernández San José, 30;Antella;46003;Valencia;jmartinez@fpmislata.fp;Becario;Administración de Sistemas
rmartinez;MARTINEZ;TERUEL;ROSANA;7302193S;660555629;967663610;Calle de Barrero Grande, 3;Señera;46005;Valencia;rmartinez@fpmislata.fp;Becario;Administración de Sistemas
smercado;MERCADO;TARIN;SANDRA;14061184L;699602303;974408238;Calle de Barrero Tejar, 15;Sumacárcel;46005;Valencia;smercado@fpmislata.fp;Becario;Administración de Sistemas
lmontes;MONTES;EGGERS;LAURA;72822279R;658544893;962118156;Calle de Centro, 27;Gabarda;46006;Valencia;lmontes@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
lmoreno;MORENO;GARCIA;LLUIS;93318935T;691056635;972878531;Calle de Costanilla, 44;Énova;46005;Valencia;lmoreno@fpmislata.fp;Becario;Administración de Sistemas
lmoreno1;MORENO;GOROSABEL;LUIS;15494898M;682343147;919747643;Calle de Jarda, 2;Benimuslem;46010;Valencia;lmoreno1@fpmislata.fp;Electricidad;Mantenimiento
smunoz;MUÑOZ;GARRIDO;SERGIO;86139015J;682850927;920288295;Calle de Jardín, 44;Benegida;46017;Valencia;smunoz@fpmislata.fp;Gerente;Administración de Sistemas
tmunoz;MUÑOZ;LERMA;TAMARA;90099316J;611925340;960252859;Calle de Juego Pelota, 26;San Juan de Énova;46006;Valencia;tmunoz@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
mnavarro;NAVARRO;ESTEVE;MARIA;43336165W;683312871;919222381;Calle de la Alameda, 3;Sellent;46015;Valencia;mnavarro@fpmislata.fp;Seguridad;Seguridad
mnogales;NOGALES;OLIETE;MARGARITA;1880751H;613448570;988036835;Calle de la Iglesia, 18;Cotes;46020;Valencia;mnogales@fpmislata.fp;Programador Senior;Desarrollo
soliveira;OLIVEIRA;LOPEZ;SILVIA;66951565Z;620017526;945713423;Calle de la Pardalera, 11;Denia ;46020;Alicante;soliveira@fpmislata.fp;Programador Senior;Desarrollo
eorande;ORANDE;PUERTO;ELVIRA;57829645D;681219118;946632060;Calle de la Plata, 5;Jávea ;46020;Alicante;eorande@fpmislata.fp;Programador Senior;Desarrollo
aorrios;ORRIOS;PLA;ANTONIA;31365726M;646567247;988900517;Calle de la Posada, 11;Calpe ;46020;Alicante;aorrios@fpmislata.fp;Programador Senior;Desarrollo
jpanos;PAÑOS;PRADAS;JOSE;79267569R;635614206;923090261;Calle de Labradores, 4;Teulada ;46020;Alicante;jpanos@fpmislata.fp;Analista programador;Desarrollo
mparra;PARRA;DAUDEN;MARIAM;78383382A;668771026;922746636;Calle de los Pastores, 12;Benisa ;46011;Alicante;mparra@fpmislata.fp;Limpieza;Mantenimiento
jpascual;PASCUAL;PEREZ;JORGE;46393457L;685923689;973696700;Calle de Manuel Domínguez, 8;Pego ;46011;Alicante;jpascual@fpmislata.fp;Limpieza;Mantenimiento
mpastor;PASTOR;MAYANS;MARIA;93334646W;647727848;973179227;Calle de Puente, 9;Pedreguer ;46011;Alicante;mpastor@fpmislata.fp;Limpieza;Mantenimiento
apellicer;PELLICER;NEVADO;ANTONIA;24140505G;691693774;924520381;Calle de San Román, 7;Ondara ;46011;Alicante;apellicer@fpmislata.fp;Limpieza;Mantenimiento
mperera;PERERA;GOMEZ;MARIA;37726115C;668138495;951731565;Calle de Zapata, 12;Gata de Gorgos ;46007;Alicante;mperera@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
rperez;PEREZ;DELGADO;RAQUEL;65896008L;620247957;952925024;Calle del Mediodía, 10;Vergel ;46010;Alicante;rperez@fpmislata.fp;Electricidad;Mantenimiento
mperez;PEREZ;GARCIA;MARI;24598415F;666999768;984141760;Calle del Oro, 30;Benitachell ;46017;Alicante;mperez@fpmislata.fp;Gerente;Administración
mperona;PERONA;PUGLIA;MARIA;9998682F;636539685;951685595;Calle del Pozo, 17;Jalón ;46026;Alicante;mperona@fpmislata.fp;Gerente;Desarrollo
pplaza;PLAZA;GARCIA;PABLO;38829208X;654082124;965542339;Calle del Sol, 31;Els Poblets ;46014;Alicante;pplaza@fpmislata.fp;Limpieza;Mantenimiento
jportugues;PORTUGUES;PEÑARRUBIA;JULIO;19445872Q;678437398;971363990;Calle Manuel Dominguez, 23;Orba ;46014;Alicante;jportugues@fpmislata.fp;Limpieza;Mantenimiento
tquero;QUERO;MORA;THAIS;31325190H;630836352;944986957;Calle Pardalera, 8;Beniarbeig ;46014;Alicante;tquero@fpmislata.fp;Limpieza;Mantenimiento
mquevedo;QUEVEDO;GIL;MARTA;92055843E;688609452;923336978;Calle Pozo, 47;Alcalalí ;46014;Alicante;mquevedo@fpmislata.fp;Seguridad;Seguridad
rquiros;QUIROS;MARTINEZ;RAFAEL;87949179P;636697102;959019765;Calle Real, 7;Benidoleig ;46014;Alicante;rquiros@fpmislata.fp;Jefe;Seguridad
mramos;RAMOS;CALDERON;MARIA;6279562X;662537833;930618776;Calle San Román, 3;Llíber ;46014;Alicante;mramos@fpmislata.fp;Seguridad;Seguridad
nrengel;RENGEL;ASUNCION;NORMA;52169647N;686290081;958418234;Calle Tras la Iglesia, 41;Parcent ;46009;Alicante;nrengel@fpmislata.fp;Contabilidad;Administración
arodrigo;RODRIGO;MANZANEDA;ANDREA;49540331X;682816034;919141278;Camino de Las Charcas, 34;Vall de Laguart ;46004;Alicante;arodrigo@fpmislata.fp;Becario;Desarrollo
arodrigo1;RODRIGO;MOLINOS;ANTONIO;5676701W;685336758;974918418;Camino de Pozuelo, 30;Sanet y Negrals ;46017;Alicante;arodrigo1@fpmislata.fp;Becario;Administración
yrodriguez;RODRIGUEZ;CASTILLO;YENIFER;19200023Z;620484320;971079338;Plaza de Consistorial, 20;Ráfol de Almunia ;46017;Alicante;yrodriguez@fpmislata.fp;Programador Senior;Desarrollo
prodriguez;RODRIGUEZ;CERDAN;PILAR;63365261P;641061444;914673003;Plaza de la Constitución, 47;Adsubia ;46010;Alicante;prodriguez@fpmislata.fp;Electricidad;Mantenimiento
irodriguez;RODRIGUEZ;ESCRIBANO;INMACULADA;30488580X;679586508;940588521;Plaza Mayor, 35;Senija ;46021;Alicante;irodriguez@fpmislata.fp;Analista programador;Desarrollo
arodriguez;RODRIGUEZ;GARRIDO;ANA;82055051K;662195102;920988103;Calle  Málaga , 34;Vall de Gallinera ;46022;Alicante;arodriguez@fpmislata.fp;Analista;Desarrollo
crodriguez;RODRIGUEZ;QUEVEDO;CARMEN;66582023J;663788103;958303982;Calle  Colón , 1;Benichembla ;46011;Alicante;crodriguez@fpmislata.fp;Limpieza;Mantenimiento
mroig;ROIG;PALOP;MARIANA;72414013P;697136059;917077237;Calle  Pío IX , 21;Murla ;46023;Alicante;mroig@fpmislata.fp;Analista;Desarrollo
mrojo;ROJO;NUÑEZ;MARIA;66186779R;623040799;947935564;Calle  San Pío X , 48;Castell de Castells ;46024;Alicante;mrojo@fpmislata.fp;Analista;Desarrollo
eromano;ROMANO;DUEÑAS;ENRIQUE;61492402Q;649193667;926552213;Calle  San Pío V , 22;Benimeli ;46025;Alicante;eromano@fpmislata.fp;Gerente;Desarrollo
aromero;ROMERO;MARTI;ALBERTO;75372972V;632804220;967663610;Avenida  Puerto, 43;Sagra ;46010;Alicante;aromero@fpmislata.fp;Electricidad;Mantenimiento
aros;ROS;IZQUIERDO;ANA;56802858B;617284206;974408238;Plaza  Luis Martí Alegre , 43;Tormos ;46005;Alicante;aros@fpmislata.fp;Becario;Administración
prosello;ROSELLO;MELLADO;PAU;41877111E;675849728;962118156;Calle  General Elio , 13;Valle de Ebo ;46006;Alicante;prosello@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
mrua;RUA;ADSUARA;MARLYN;53041555J;692350561;972878531;Calle  Reina Doña Germana , 7;Valle de Alcalá ;46005;Alicante;mrua@fpmislata.fp;Becario;Administración
cruano;RUANO;RIVERA;CATHERIN;91036943E;680911774;919747643;Avenida  Peris y Valero, 23;Benimuslem;46006;Valencia;cruano@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
mrueda;RUEDA;ARJONILLA;MARIA;80892561C;632711573;920288295;Calle  Paz , 2;Benegida;46003;Valencia;mrueda@fpmislata.fp;Becario;Administración de Sistemas
gruiz;RUIZ;OTERO;GLORIA;76888757X;628153475;960252859;Calle  Duque de Calabria , 38;San Juan de Énova;46005;Valencia;gruiz@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
druiz;RUIZ;RODRIGUEZ;DENIS;72588899W;661392192;919222381;Plaza  Centenar de la Ploma , 49;Sellent;46003;Valencia;druiz@fpmislata.fp;Becario;Administración de Sistemas
rruzafa;RUZAFA;MARTINEZ;RAUL;92758455F;685902941;988036835;Calle  Sevilla , 11;Cotes;46006;Valencia;rruzafa@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
esalvatierra;SALVATIERRA;NAVARRO;ELENA;30622629S;633044851;945713423;Calle  Cádiz , 42;Denia ;46006;Alicante;esalvatierra@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
asanchez;SANCHEZ;CABALLERO;AMPARO;54906352Q;691973609;946632060;Calle  Lérida , 40;Jávea ;46009;Alicante;asanchez@fpmislata.fp;Contabilidad;Administración
psanchez;SANCHEZ;MORIONDO;PABLO;11741827M;617920839;988900517;Calle  Reus , 39;Calpe ;46009;Alicante;psanchez@fpmislata.fp;Contabilidad;Administración
esancho;SANCHO;NAZARENO;ESTEFANIA;53496526K;630962209;923090261;Calle  Vall de Laguar , 19;Teulada ;46009;Alicante;esancho@fpmislata.fp;Contabilidad;Administración
asanmartin;SANMARTIN;ROMERO;AMPARO;63241716L;668062487;922746636;Calle  Joaquín Ballester , 11;Castalla;46009;Alicante;asanmartin@fpmislata.fp;Nóminas;Administración
gsantabalbina;SANTABALBINA;ROMERO;GABRIELA;47748288N;638701540;973696700;Calle  Padre Ferris , 30;Onil;46009;Alicante;gsantabalbina@fpmislata.fp;Nóminas;Administración
asantamaria;SANTAMARIA;BALTASAR;AMAYA;60927778L;696197029;973179227;Plaza  Redonda , 14;Bañeres;46001;Alicante;asantamaria@fpmislata.fp;Programador Junior;Desarrollo
vsarmiento;SARMIENTO;INIESTA;VIRGINIA;29204635V;673921354;924520381;Plaza  Lope de Vega , 2;Tibi;46001;Alicante;vsarmiento@fpmislata.fp;Programador Junior;Desarrollo
rsegarra;SEGARRA;LOPEZ;REAL;7779634E;643331583;951731565;Plaza  Doctor Collado , 26;Penáguila;46001;Alicante;rsegarra@fpmislata.fp;Programador Junior;Desarrollo
mserna;SERNA;GREGORI;MONTSERRAT;45772301R;634513139;952925024;Plaza  Mercado , 32;Benifallim;46001;Alicante;mserna@fpmislata.fp;Programador Junior;Desarrollo
eseverino;SEVERINO;NIETO;ESTHER;93764486H;654505302;984141760;Avenida  Oeste , 35;Torrente;46001;Valencia;eseverino@fpmislata.fp;Programador Junior;Desarrollo
msimo;SIMO;ROMANO;MARIA;45553144B;653074473;940588521;Calle  Segorbe , 5;Sellent;46011;Valencia;msimo@fpmislata.fp;Limpieza;Mantenimiento
esimo;SIMO;ROMERO;ENRIC;12944986B;668767412;951685595;Calle  Doctor Nicasio Benlloch, 8;Paterna;46009;Valencia;esimo@fpmislata.fp;Nóminas;Administración
msimon;SIMON;DOMINGO;MARIA;79924578S;658102621;965542339;Calle  Doctor Nicasio Benlloch, 40;Mislata;46015;Valencia;msimon@fpmislata.fp;Becario;Desarrollo
gsimon;SIMON;ROMERO;GLORIA;85832023W;622971784;956258391;Calle  General San Martín , 32;Cotes;46006;Valencia;gsimon@fpmislata.fp;Administrador de sistemas;Administración de Sistemas
asoldado;SOLDADO;GONZALEZ;ARACELI;23372000K;692641213;971363990;Calle  Doctor Manuel Candela , 12;Aldaya;46009;Valencia;asoldado@fpmislata.fp;Jefe;Mantenimiento
dsoldado;SOLDADO;ROS;DENIS;88599762J;683396876;957274236;Calle  Castellón , 12;Denia ;46004;Alicante;dsoldado@fpmislata.fp;Becario;Desarrollo
asoler;SOLER;LAMO;ADRIAN;88697509X;625090916;944986957;Calle  Hipólito Rovira , 32;Manises;46015;Valencia;asoler@fpmislata.fp;Becario;Desarrollo
rsoler;SOLER;ROSELLO;RAUL;66590362A;689469397;982689156;Calle  Duque de Mandas , 44;Jávea ;46004;Alicante;rsoler@fpmislata.fp;Becario;Desarrollo
nsoriano;SORIANO;GUALANCAÑAY;NATIVIDAD;87062391P;634389316;923336978;Calle  Alcublas , 45;Chirivella;46021;Valencia;nsoriano@fpmislata.fp;Analista programador;Desarrollo
esoriano;SORIANO;RUA;ELENA;54064568D;689661532;937058864;Calle  Motilla del Palancar , 8;Calpe ;46004;Alicante;esoriano@fpmislata.fp;Becario;Desarrollo
gtalavera;TALAVERA;BENAVENT;GEMMA;65890023Z;628243863;959019765;Calle  Ricardo Micó , 20;Alacuás;46009;Valencia;gtalavera@fpmislata.fp;Pintura;Mantenimiento
